orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
153,fet2575_post,resultado_fvl,post,fet2575,float64
154,fev05_predicted,resultado_fvl,predicted,fev05,float64
155,fev05_sd,resultado_fvl,sd,fev05,float64
156,fev05_cv,resultado_fvl,cv,fev05,float64
157,fev05_skewness,resultado_fvl,skewness,fev05,float64
158,fev05_pre,resultado_fvl,pre,fev05,float64
159,fev05_post,resultado_fvl,post,fev05,float64
160,fev05fev6_predicted,resultado_fvl,predicted,fev05fev6,float64
161,fev05fev6_sd,resultado_fvl,sd,fev05fev6,float64
162,fev05fev6_cv,resultado_fvl,cv,fev05fev6,float64
163,fev05fev6_skewness,resultado_fvl,skewness,fev05fev6,float64
164,fev05fev6_pre,resultado_fvl,pre,fev05fev6,float64
165,fev05fev6_post,resultado_fvl,post,fev05fev6,float64
166,fev05fvc_predicted,resultado_fvl,predicted,fev05fvc,float64
167,fev05fvc_sd,resultado_fvl,sd,fev05fvc,float64
168,fev05fvc_cv,resultado_fvl,cv,fev05fvc,float64
169,fev05fvc_skewness,resultado_fvl,skewness,fev05fvc,float64
170,fev05fvc_pre,resultado_fvl,pre,fev05fvc,float64
171,fev05fvc_post,resultado_fvl,post,fev05fvc,float64
172,fev075_predicted,resultado_fvl,predicted,fev075,float64
173,fev075_sd,resultado_fvl,sd,fev075,float64
174,fev075_cv,resultado_fvl,cv,fev075,float64
175,fev075_skewness,resultado_fvl,skewness,fev075,float64
176,fev075_pre,resultado_fvl,pre,fev075,float64
177,fev075_post,resultado_fvl,post,fev075,float64
178,fev1_predicted,resultado_fvl,predicted,fev1,float64
179,fev1_sd,resultado_fvl,sd,fev1,float64
180,fev1_cv,resultado_fvl,cv,fev1,float64
181,fev1_skewness,resultado_fvl,skewness,fev1,float64
182,fev1_pre,resultado_fvl,pre,fev1,float64
183,fev1_post,resultado_fvl,post,fev1,float64
184,fev1fev6_predicted,resultado_fvl,predicted,fev1fev6,float64
185,fev1fev6_sd,resultado_fvl,sd,fev1fev6,float64
186,fev1fev6_cv,resultado_fvl,cv,fev1fev6,float64
187,fev1fev6_skewness,resultado_fvl,skewness,fev1fev6,float64
188,fev1fev6_pre,resultado_fvl,pre,fev1fev6,float64
189,fev1fev6_post,resultado_fvl,post,fev1fev6,float64
190,fev1fvc_predicted,resultado_fvl,predicted,fev1fvc,float64
191,fev1fvc_sd,resultado_fvl,sd,fev1fvc,float64
192,fev1fvc_cv,resultado_fvl,cv,fev1fvc,float64
193,fev1fvc_skewness,resultado_fvl,skewness,fev1fvc,float64
194,fev1fvc_pre,resultado_fvl,pre,fev1fvc,float64
195,fev1fvc_post,resultado_fvl,post,fev1fvc,float64
196,fev1svc_predicted,resultado_fvl,predicted,fev1svc,float64
197,fev1svc_sd,resultado_fvl,sd,fev1svc,float64
198,fev1svc_cv,resultado_fvl,cv,fev1svc,float64
199,fev1svc_skewness,resultado_fvl,skewness,fev1svc,float64
200,fev1svc_pre,resultado_fvl,pre,fev1svc,float64
201,fev1svc_post,resultado_fvl,post,fev1svc,float64
202,fev10_predicted,resultado_fvl,predicted,fev10,float64
203,fev10_sd,resultado_fvl,sd,fev10,float64
204,fev10_cv,resultado_fvl,cv,fev10,float64
205,fev10_skewness,resultado_fvl,skewness,fev10,float64
206,fev10_pre,resultado_fvl,pre,fev10,float64
207,fev10_post,resultado_fvl,post,fev10,float64
208,fev2_predicted,resultado_fvl,predicted,fev2,float64
209,fev2_sd,resultado_fvl,sd,fev2,float64
